class,n,R,s,totalValue,totalWeight,processingTime
05SubsetSum,n00050,R01000,s000.kp,14239,14239,0.009063482284545898
05SubsetSum,n00050,R01000,s001.kp,11793,11793,0.00748133659362793
05SubsetSum,n00050,R01000,s002.kp,13570,13570,0.00722956657409668
05SubsetSum,n00050,R01000,s003.kp,13214,13214,0.007066011428833008
05SubsetSum,n00050,R01000,s004.kp,12263,12263,0.006337642669677734
05SubsetSum,n00050,R01000,s005.kp,12719,12719,0.008488655090332031
05SubsetSum,n00050,R01000,s006.kp,13327,13327,0.007570505142211914
05SubsetSum,n00050,R01000,s007.kp,10476,10476,0.006564140319824219
05SubsetSum,n00050,R01000,s008.kp,11822,11822,0.006910085678100586
05SubsetSum,n00050,R01000,s009.kp,10836,10836,0.007542848587036133
05SubsetSum,n00050,R01000,s010.kp,12499,12499,0.006499528884887695
05SubsetSum,n00050,R01000,s011.kp,12657,12657,0.00797581672668457
05SubsetSum,n00050,R01000,s012.kp,11631,11631,0.007137775421142578
05SubsetSum,n00050,R01000,s013.kp,12547,12547,0.00929570198059082
05SubsetSum,n00050,R01000,s014.kp,11824,11824,0.007981061935424805
05SubsetSum,n00050,R01000,s015.kp,13089,13089,0.008482217788696289
05SubsetSum,n00050,R01000,s016.kp,11929,11929,0.007670879364013672
05SubsetSum,n00050,R01000,s017.kp,14071,14071,0.00769352912902832
05SubsetSum,n00050,R01000,s018.kp,12122,12122,0.006984233856201172
05SubsetSum,n00050,R01000,s019.kp,11510,11510,0.008501529693603516
05SubsetSum,n00050,R01000,s020.kp,11677,11677,0.007844209671020508
05SubsetSum,n00050,R01000,s021.kp,12067,12067,0.008499383926391602
05SubsetSum,n00050,R01000,s022.kp,14006,14006,0.00748753547668457
05SubsetSum,n00050,R01000,s023.kp,11238,11238,0.007012128829956055
05SubsetSum,n00050,R01000,s024.kp,13779,13779,0.007576704025268555
05SubsetSum,n00050,R01000,s025.kp,11385,11385,0.007627248764038086
05SubsetSum,n00050,R01000,s026.kp,12971,12971,0.007009744644165039
05SubsetSum,n00050,R01000,s027.kp,13275,13275,0.007153987884521484
05SubsetSum,n00050,R01000,s028.kp,10577,10577,0.0075490474700927734
05SubsetSum,n00050,R01000,s029.kp,12098,12098,0.0069789886474609375
05SubsetSum,n00050,R01000,s030.kp,13130,13130,0.009525537490844727
05SubsetSum,n00050,R01000,s031.kp,11515,11515,0.007132291793823242
05SubsetSum,n00050,R01000,s032.kp,11325,11325,0.008403539657592773
05SubsetSum,n00050,R01000,s033.kp,12109,12109,0.007977962493896484
05SubsetSum,n00050,R01000,s034.kp,13298,13298,0.009544610977172852
05SubsetSum,n00050,R01000,s035.kp,12974,12974,0.010250568389892578
05SubsetSum,n00050,R01000,s036.kp,13946,13946,0.011495351791381836
05SubsetSum,n00050,R01000,s037.kp,12705,12705,0.008626699447631836
05SubsetSum,n00050,R01000,s038.kp,11243,11243,0.008512735366821289
05SubsetSum,n00050,R01000,s039.kp,12035,12035,0.008491039276123047
