filePath,totalValue,totalWeight,processingTime
00Uncorrelated\n00050\R01000\s000.kp,20995,14721,0.0
00Uncorrelated\n00050\R01000\s001.kp,19836,13585,0.0
00Uncorrelated\n00050\R01000\s002.kp,20561,13767,0.0
00Uncorrelated\n00050\R01000\s003.kp,19789,13568,0.0
00Uncorrelated\n00050\R01000\s004.kp,20961,11616,0.0
00Uncorrelated\n00050\R01000\s005.kp,19780,11921,0.0
00Uncorrelated\n00050\R01000\s006.kp,21334,12015,0.0
00Uncorrelated\n00050\R01000\s007.kp,16763,12820,0.0
00Uncorrelated\n00050\R01000\s008.kp,19399,10954,0.0
00Uncorrelated\n00050\R01000\s009.kp,18331,11457,0.0
00Uncorrelated\n00050\R01000\s010.kp,20167,11420,0.0
00Uncorrelated\n00050\R01000\s011.kp,20361,10695,0.0
00Uncorrelated\n00050\R01000\s012.kp,18751,11126,0.0
00Uncorrelated\n00050\R01000\s013.kp,20056,11760,0.0
00Uncorrelated\n00050\R01000\s014.kp,19031,10634,0.0
00Uncorrelated\n00050\R01000\s015.kp,22377,12218,0.0
00Uncorrelated\n00050\R01000\s016.kp,19232,10474,0.0
00Uncorrelated\n00050\R01000\s017.kp,22989,12530,0.0
00Uncorrelated\n00050\R01000\s018.kp,19043,12340,0.0
00Uncorrelated\n00050\R01000\s019.kp,18181,11085,0.0
00Uncorrelated\n00050\R01000\s020.kp,18971,10295,0.0
00Uncorrelated\n00050\R01000\s021.kp,19729,13367,0.0
00Uncorrelated\n00050\R01000\s022.kp,22275,13425,0.0
00Uncorrelated\n00050\R01000\s023.kp,18428,13692,0.0
00Uncorrelated\n00050\R01000\s024.kp,22133,12661,0.0
00Uncorrelated\n00050\R01000\s025.kp,19038,11827,0.0
00Uncorrelated\n00050\R01000\s026.kp,22137,11017,0.0
00Uncorrelated\n00050\R01000\s027.kp,21482,11504,0.0
00Uncorrelated\n00050\R01000\s028.kp,17374,11784,0.0
00Uncorrelated\n00050\R01000\s029.kp,19451,12935,0.0
00Uncorrelated\n00050\R01000\s030.kp,20160,12766,0.0
00Uncorrelated\n00050\R01000\s031.kp,19729,13398,0.0
00Uncorrelated\n00050\R01000\s032.kp,19653,12064,0.0
00Uncorrelated\n00050\R01000\s033.kp,19915,10843,0.0
00Uncorrelated\n00050\R01000\s034.kp,21003,12836,0.0
00Uncorrelated\n00050\R01000\s035.kp,21180,11871,0.0
00Uncorrelated\n00050\R01000\s036.kp,21892,10774,0.0
00Uncorrelated\n00050\R01000\s037.kp,20563,11491,0.0
00Uncorrelated\n00050\R01000\s038.kp,17682,11802,0.0
00Uncorrelated\n00050\R01000\s039.kp,19603,11361,0.0
00Uncorrelated\n00050\R01000\s040.kp,21368,12111,0.000965118408203125
00Uncorrelated\n00050\R01000\s041.kp,19743,12771,0.000997304916381836
00Uncorrelated\n00050\R01000\s042.kp,18874,12538,0.0
00Uncorrelated\n00050\R01000\s043.kp,20800,13416,0.0
00Uncorrelated\n00050\R01000\s044.kp,18337,11362,0.0
00Uncorrelated\n00050\R01000\s045.kp,20707,11761,0.0
00Uncorrelated\n00050\R01000\s046.kp,19600,10928,0.0
00Uncorrelated\n00050\R01000\s047.kp,19269,12608,0.0
00Uncorrelated\n00050\R01000\s048.kp,17132,12857,0.0
00Uncorrelated\n00050\R01000\s049.kp,18105,13091,0.0
00Uncorrelated\n00050\R01000\s050.kp,22274,10358,0.0
00Uncorrelated\n00050\R01000\s051.kp,20990,14095,0.0
00Uncorrelated\n00050\R01000\s052.kp,19827,13100,0.0
00Uncorrelated\n00050\R01000\s053.kp,18583,11761,0.0
00Uncorrelated\n00050\R01000\s054.kp,21106,12672,0.0
00Uncorrelated\n00050\R01000\s055.kp,19336,12477,0.0
00Uncorrelated\n00050\R01000\s056.kp,18319,11898,0.0
00Uncorrelated\n00050\R01000\s057.kp,21262,11785,0.0
00Uncorrelated\n00050\R01000\s058.kp,17420,12723,0.000995635986328125
00Uncorrelated\n00050\R01000\s059.kp,22072,12170,0.0
00Uncorrelated\n00050\R01000\s060.kp,18578,12943,0.0
00Uncorrelated\n00050\R01000\s061.kp,17728,12184,0.0
00Uncorrelated\n00050\R01000\s062.kp,20093,12049,0.0
00Uncorrelated\n00050\R01000\s063.kp,20632,12031,0.0009996891021728516
00Uncorrelated\n00050\R01000\s064.kp,19407,12984,0.0
00Uncorrelated\n00050\R01000\s065.kp,20158,13294,0.0009646415710449219
00Uncorrelated\n00050\R01000\s066.kp,20710,11684,0.0
00Uncorrelated\n00050\R01000\s067.kp,19676,13683,0.0
00Uncorrelated\n00050\R01000\s068.kp,21191,12987,0.0
00Uncorrelated\n00050\R01000\s069.kp,18544,12844,0.0
00Uncorrelated\n00050\R01000\s070.kp,22432,11670,0.0
00Uncorrelated\n00050\R01000\s071.kp,17000,12279,0.0
00Uncorrelated\n00050\R01000\s072.kp,20193,12924,0.0
00Uncorrelated\n00050\R01000\s073.kp,19788,11841,0.0
00Uncorrelated\n00050\R01000\s074.kp,20362,13125,0.0
00Uncorrelated\n00050\R01000\s075.kp,19216,14019,0.0
00Uncorrelated\n00050\R01000\s076.kp,21482,11004,0.0
00Uncorrelated\n00050\R01000\s077.kp,21136,11970,0.0
00Uncorrelated\n00050\R01000\s078.kp,19828,11319,0.0
00Uncorrelated\n00050\R01000\s079.kp,17993,12615,0.0
00Uncorrelated\n00050\R01000\s080.kp,19287,12366,0.0
00Uncorrelated\n00050\R01000\s081.kp,19473,13322,0.0
00Uncorrelated\n00050\R01000\s082.kp,19371,13075,0.0
00Uncorrelated\n00050\R01000\s083.kp,19444,10766,0.0
00Uncorrelated\n00050\R01000\s084.kp,18339,13782,0.0
00Uncorrelated\n00050\R01000\s085.kp,19500,12818,0.0
00Uncorrelated\n00050\R01000\s086.kp,21777,12457,0.00099945068359375
00Uncorrelated\n00050\R01000\s087.kp,21617,10039,0.0
00Uncorrelated\n00050\R01000\s088.kp,20096,13106,0.0
00Uncorrelated\n00050\R01000\s089.kp,22773,11660,0.0
00Uncorrelated\n00050\R01000\s090.kp,20025,13063,0.0
00Uncorrelated\n00050\R01000\s091.kp,21416,13562,0.0
00Uncorrelated\n00050\R01000\s092.kp,20987,14295,0.0
00Uncorrelated\n00050\R01000\s093.kp,20550,11942,0.0
00Uncorrelated\n00050\R01000\s094.kp,20010,12355,0.0
00Uncorrelated\n00050\R01000\s095.kp,18953,13561,0.0
00Uncorrelated\n00050\R01000\s096.kp,20609,11750,0.0
00Uncorrelated\n00050\R01000\s097.kp,19243,13402,0.0
00Uncorrelated\n00050\R01000\s098.kp,20649,12656,0.0
00Uncorrelated\n00050\R01000\s099.kp,20685,10542,0.0009968280792236328
00Uncorrelated\n00050\R10000\s000.kp,209818,147083,0.0
00Uncorrelated\n00050\R10000\s001.kp,198223,135697,0.0
00Uncorrelated\n00050\R10000\s002.kp,205492,137567,0.0
00Uncorrelated\n00050\R10000\s003.kp,197735,135568,0.0
00Uncorrelated\n00050\R10000\s004.kp,209482,116020,0.0
00Uncorrelated\n00050\R10000\s005.kp,197699,119067,0.0
00Uncorrelated\n00050\R10000\s006.kp,213193,120011,0.0
00Uncorrelated\n00050\R10000\s007.kp,167509,128059,0.000997781753540039
00Uncorrelated\n00050\R10000\s008.kp,193841,109407,0.0009965896606445312
00Uncorrelated\n00050\R10000\s009.kp,183147,114430,0.0
00Uncorrelated\n00050\R10000\s010.kp,201536,114069,0.0
00Uncorrelated\n00050\R10000\s011.kp,203456,106792,0.0
00Uncorrelated\n00050\R10000\s012.kp,187395,111119,0.0009968280792236328
00Uncorrelated\n00050\R10000\s013.kp,200417,117448,0.0
00Uncorrelated\n00050\R10000\s014.kp,190169,106185,0.0
00Uncorrelated\n00050\R10000\s015.kp,223618,122040,0.0
00Uncorrelated\n00050\R10000\s016.kp,192182,104590,0.0
00Uncorrelated\n00050\R10000\s017.kp,229750,125176,0.0
00Uncorrelated\n00050\R10000\s018.kp,190317,123255,0.0
00Uncorrelated\n00050\R10000\s019.kp,181645,110712,0.0
00Uncorrelated\n00050\R10000\s020.kp,189597,102786,0.0
00Uncorrelated\n00050\R10000\s021.kp,197193,133505,0.0
00Uncorrelated\n00050\R10000\s022.kp,222611,134111,0.0
00Uncorrelated\n00050\R10000\s023.kp,184146,136791,0.0
00Uncorrelated\n00050\R10000\s024.kp,221212,126490,0.0
00Uncorrelated\n00050\R10000\s025.kp,190246,118120,0.0
00Uncorrelated\n00050\R10000\s026.kp,221224,110012,0.0
00Uncorrelated\n00050\R10000\s027.kp,214680,114927,0.0
00Uncorrelated\n00050\R10000\s028.kp,173583,117694,0.0
00Uncorrelated\n00050\R10000\s029.kp,194369,129246,0.0009961128234863281
00Uncorrelated\n00050\R10000\s030.kp,201461,127530,0.0
00Uncorrelated\n00050\R10000\s031.kp,197181,133839,0.0
00Uncorrelated\n00050\R10000\s032.kp,196380,120499,0.0
00Uncorrelated\n00050\R10000\s033.kp,199004,108279,0.0
00Uncorrelated\n00050\R10000\s034.kp,209891,128211,0.0
00Uncorrelated\n00050\R10000\s035.kp,211646,118558,0.0
00Uncorrelated\n00050\R10000\s036.kp,218764,107617,0.0009965896606445312
00Uncorrelated\n00050\R10000\s037.kp,205488,114749,0.0
00Uncorrelated\n00050\R10000\s038.kp,176688,117885,0.0
00Uncorrelated\n00050\R10000\s039.kp,195895,113473,0.0
00Uncorrelated\n00050\R10000\s040.kp,213530,120949,0.0
00Uncorrelated\n00050\R10000\s041.kp,197292,127575,0.0
00Uncorrelated\n00050\R10000\s042.kp,188598,125260,0.0
00Uncorrelated\n00050\R10000\s043.kp,207866,134009,0.0
00Uncorrelated\n00050\R10000\s044.kp,183223,113468,0.0
00Uncorrelated\n00050\R10000\s045.kp,206922,117456,0.0
00Uncorrelated\n00050\R10000\s046.kp,195878,109136,0.0
00Uncorrelated\n00050\R10000\s047.kp,192702,126049,0.0
00Uncorrelated\n00050\R10000\s048.kp,171190,128477,0.0
00Uncorrelated\n00050\R10000\s049.kp,180893,130802,0.0
00Uncorrelated\n00050\R10000\s050.kp,222590,103456,0.0009970664978027344
00Uncorrelated\n00050\R10000\s051.kp,209866,140915,0.0
00Uncorrelated\n00050\R10000\s052.kp,198132,130838,0.0
00Uncorrelated\n00050\R10000\s053.kp,185810,117491,0.0
00Uncorrelated\n00050\R10000\s054.kp,210939,126595,0.0
00Uncorrelated\n00050\R10000\s055.kp,193247,124627,0.0009980201721191406
00Uncorrelated\n00050\R10000\s056.kp,183058,118856,0.0
00Uncorrelated\n00050\R10000\s057.kp,212454,117714,0.0
00Uncorrelated\n00050\R10000\s058.kp,174111,127101,0.0
00Uncorrelated\n00050\R10000\s059.kp,220583,121544,0.0
