filePath,totalValue,totalWeight,processingTime
04AlmostStronglyCorrelated\n00050\R01000\s000.kp,17556,14238,0.015483379364013672
04AlmostStronglyCorrelated\n00050\R01000\s001.kp,15308,11792,0.17195987701416016
04AlmostStronglyCorrelated\n00050\R01000\s002.kp,16983,13570,0.006507158279418945
04AlmostStronglyCorrelated\n00050\R01000\s003.kp,16616,13214,0.0
04AlmostStronglyCorrelated\n00050\R01000\s004.kp,15764,12263,0.000997781753540039
04AlmostStronglyCorrelated\n00050\R01000\s005.kp,16204,12719,0.022978782653808594
04AlmostStronglyCorrelated\n00050\R01000\s006.kp,16632,13327,0.04956865310668945
04AlmostStronglyCorrelated\n00050\R01000\s007.kp,14056,10461,0.0
04AlmostStronglyCorrelated\n00050\R01000\s008.kp,15413,11819,0.0
04AlmostStronglyCorrelated\n00050\R01000\s009.kp,14434,10836,0.0029916763305664062
04AlmostStronglyCorrelated\n00050\R01000\s010.kp,15999,12499,0.0
04AlmostStronglyCorrelated\n00050\R01000\s011.kp,16142,12656,0.0
04AlmostStronglyCorrelated\n00050\R01000\s012.kp,15126,11630,0.1830904483795166
04AlmostStronglyCorrelated\n00050\R01000\s013.kp,15950,12547,0.010480403900146484
04AlmostStronglyCorrelated\n00050\R01000\s014.kp,15312,11823,0.000997304916381836
04AlmostStronglyCorrelated\n00050\R01000\s015.kp,16592,13089,0.005987405776977539
04AlmostStronglyCorrelated\n00050\R01000\s016.kp,15416,11928,0.000995635986328125
04AlmostStronglyCorrelated\n00050\R01000\s017.kp,17479,14070,0.0009987354278564453
04AlmostStronglyCorrelated\n00050\R01000\s018.kp,15519,12121,0.003002643585205078
04AlmostStronglyCorrelated\n00050\R01000\s019.kp,14999,11508,0.0
04AlmostStronglyCorrelated\n00050\R01000\s020.kp,15165,11675,0.026470661163330078
04AlmostStronglyCorrelated\n00050\R01000\s021.kp,15581,12067,0.011209249496459961
04AlmostStronglyCorrelated\n00050\R01000\s022.kp,17421,14006,0.0034952163696289062
04AlmostStronglyCorrelated\n00050\R01000\s023.kp,14751,11237,0.0009980201721191406
04AlmostStronglyCorrelated\n00050\R01000\s024.kp,17189,13779,0.010096549987792969
04AlmostStronglyCorrelated\n00050\R01000\s025.kp,14888,11384,0.03915143013000488
04AlmostStronglyCorrelated\n00050\R01000\s026.kp,16470,12967,0.0009992122650146484
04AlmostStronglyCorrelated\n00050\R01000\s027.kp,16676,13274,0.03238368034362793
04AlmostStronglyCorrelated\n00050\R01000\s028.kp,14268,10574,0.0
04AlmostStronglyCorrelated\n00050\R01000\s029.kp,15507,12097,0.0
04AlmostStronglyCorrelated\n00050\R01000\s030.kp,16536,13130,0.053530216217041016
04AlmostStronglyCorrelated\n00050\R01000\s031.kp,15126,11515,0.0005028247833251953
04AlmostStronglyCorrelated\n00050\R01000\s032.kp,14930,11324,0.10004711151123047
04AlmostStronglyCorrelated\n00050\R01000\s033.kp,15598,12109,0.0055999755859375
04AlmostStronglyCorrelated\n00050\R01000\s034.kp,16701,13295,0.0
04AlmostStronglyCorrelated\n00050\R01000\s035.kp,16382,12974,0.12915945053100586
04AlmostStronglyCorrelated\n00050\R01000\s036.kp,17336,13946,0.0064928531646728516
04AlmostStronglyCorrelated\n00050\R01000\s037.kp,16103,12705,0.000997781753540039
04AlmostStronglyCorrelated\n00050\R01000\s038.kp,14644,11243,0.28421926498413086
04AlmostStronglyCorrelated\n00050\R01000\s039.kp,15519,12031,0.0
04AlmostStronglyCorrelated\n00050\R01000\s040.kp,15820,12218,0.0
04AlmostStronglyCorrelated\n00050\R01000\s041.kp,15754,12341,0.17929840087890625
04AlmostStronglyCorrelated\n00050\R01000\s042.kp,14679,11167,0.2521955966949463
04AlmostStronglyCorrelated\n00050\R01000\s043.kp,16237,12827,0.001995086669921875
04AlmostStronglyCorrelated\n00050\R01000\s044.kp,14841,11248,0.0
04AlmostStronglyCorrelated\n00050\R01000\s045.kp,15496,11993,0.0045166015625
04AlmostStronglyCorrelated\n00050\R01000\s046.kp,14975,11380,0.003053426742553711
04AlmostStronglyCorrelated\n00050\R01000\s047.kp,15852,12452,0.028521060943603516
04AlmostStronglyCorrelated\n00050\R01000\s048.kp,14083,10471,0.004986286163330078
04AlmostStronglyCorrelated\n00050\R01000\s049.kp,15105,11694,0.24918413162231445
04AlmostStronglyCorrelated\n00050\R01000\s050.kp,17546,14252,0.014856815338134766
04AlmostStronglyCorrelated\n00050\R01000\s051.kp,17674,14361,0.4565403461456299
04AlmostStronglyCorrelated\n00050\R01000\s052.kp,15012,11399,0.004514217376708984
04AlmostStronglyCorrelated\n00050\R01000\s053.kp,15467,11977,0.001992940902709961
04AlmostStronglyCorrelated\n00050\R01000\s054.kp,16117,12609,0.004987239837646484
04AlmostStronglyCorrelated\n00050\R01000\s055.kp,15492,12087,0.008531808853149414
04AlmostStronglyCorrelated\n00050\R01000\s056.kp,14707,11205,0.014215469360351562
04AlmostStronglyCorrelated\n00050\R01000\s057.kp,16292,12889,0.0
04AlmostStronglyCorrelated\n00050\R01000\s058.kp,15427,12025,0.2240736484527588
04AlmostStronglyCorrelated\n00050\R01000\s059.kp,17016,13618,0.0
04AlmostStronglyCorrelated\n00050\R01000\s060.kp,14906,11397,0.011502265930175781
04AlmostStronglyCorrelated\n00050\R01000\s061.kp,14682,11180,0.0
04AlmostStronglyCorrelated\n00050\R01000\s062.kp,15848,12339,0.010507822036743164
04AlmostStronglyCorrelated\n00050\R01000\s063.kp,16271,12775,0.0
04AlmostStronglyCorrelated\n00050\R01000\s064.kp,14964,11449,0.22448492050170898
04AlmostStronglyCorrelated\n00050\R01000\s065.kp,16182,12768,0.034386634826660156
04AlmostStronglyCorrelated\n00050\R01000\s066.kp,16019,12522,0.0
04AlmostStronglyCorrelated\n00050\R01000\s067.kp,15283,11667,0.00730443000793457
04AlmostStronglyCorrelated\n00050\R01000\s068.kp,16483,13077,0.000997781753540039
04AlmostStronglyCorrelated\n00050\R01000\s069.kp,14994,11487,0.0020112991333007812
04AlmostStronglyCorrelated\n00050\R01000\s070.kp,16800,13391,0.0790560245513916
04AlmostStronglyCorrelated\n00050\R01000\s071.kp,14151,10453,0.0
04AlmostStronglyCorrelated\n00050\R01000\s072.kp,15616,12107,0.0039904117584228516
04AlmostStronglyCorrelated\n00050\R01000\s073.kp,15339,11835,0.008498907089233398
04AlmostStronglyCorrelated\n00050\R01000\s074.kp,16694,13285,0.12552881240844727
